PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,081001,Malattie infettive e parassitarie,4,6
2009-2017,081001,Tubercolosi,1,1
2009-2017,081001,Epatite virale,1,0
2009-2017,081001,Tumore,560,435
2009-2017,081001,Tumori maligni,545,426
2009-2017,081001,"Tumori maligni delle labbra, cavità orale e faringe",12,7
2009-2017,081001,Tumori maligni dell'esofago,2,2
2009-2017,081001,Tumori maligni dello stomaco,25,18
2009-2017,081001,Tumori maligni del colon,44,48
2009-2017,081001,Tumori maligni del retto e dell'ano,14,14
2009-2017,081001,Tumori maligni del fegato e dei dotti biliari intraepatici,23,21
2009-2017,081001,Tumori maligni del pancreas,31,34
2009-2017,081001,Tumori maligni della laringe e della trachea/bronchi/polm.,141,27
2009-2017,081001,Tumori maligni della cute,4,1
2009-2017,081001,Tumori maligni del seno,0,80
2009-2017,081001,Tumori maligni della cervice uterina,0,3
2009-2017,081001,Tumori maligni di altre parti dell'utero,0,26
2009-2017,081001,Tumori maligni dell'ovaio,0,21
2009-2017,081001,Tumori maligni della prostata,68,0
2009-2017,081001,Tumori maligni del rene,14,5
2009-2017,081001,Tumori maligni della vescica,41,12
2009-2017,081001,Tumori maligni del tessuto linfatico/ematopoietico,47,44
2009-2017,081001,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,12,14
2009-2017,081001,"Malattie endocrine, nutrizionali e metaboliche",110,163
2009-2017,081001,Diabete mellito,98,151
2009-2017,081001,Disturbi psichici e comportamentali,103,178
2009-2017,081001,Abuso di alcool (compresa psicosi alcolica),1,0
2009-2017,081001,Malattie del sistema nervoso e degli organi di senso,63,57
2009-2017,081001,Malattie del sistema circolatorio,703,881
2009-2017,081001,Malattie ischemiche del cuore,199,150
2009-2017,081001,Altre malattie del cuore,122,141
2009-2017,081001,Malattie cerebrovascolari,275,377
2009-2017,081001,Malattie del sistema respiratorio,149,91
2009-2017,081001,Influenza,1,1
2009-2017,081001,Polmonite,20,14
2009-2017,081001,Malattie croniche delle basse vie respiratorie,109,50
2009-2017,081001,Asma,1,1
2009-2017,081001,Malattie dell'apparato digerente,69,58
2009-2017,081001,"Ulcera dello stomaco, duodeno e digiuno",2,2
2009-2017,081001,Malattie epatiche croniche,28,17
2009-2017,081001,Malattie del sistema osteomuscolare e del tessuto connettivo,5,12
2009-2017,081001,Artrite reumatoide e osteoartrite,2,7
2009-2017,081001,Malattie del sistema genitourinario,89,93
2009-2017,081001,Malattie del rene e dell'uretere,88,93
2009-2017,081001,Alcune condizioni che hanno origine nel periodo perinatale,7,5
2009-2017,081001,Malformazioni congenite e anormalità cromosomiche,11,7
2009-2017,081001,Malformazioni congenite del sistema nervoso,1,2
2009-2017,081001,Malformazioni congenite del sistema circolatorio,3,3
2009-2017,081001,"Sintomi, segni, risultati anomali e cause mal definite",47,89
2009-2017,081001,Cause sconosciute e non specificate,2,0
2009-2017,081001,Cause esterne di traumatismo e avvelenamento,96,75
2009-2017,081001,Accidenti,55,72
2009-2017,081001,Accidenti di trasporto,12,5
2009-2017,081001,Cadute accidentali,27,55
2009-2017,081001,Suicidio e autolesione intenzionale,33,1
2009-2017,081001,"Omicidio, aggressione",3,0
2009-2017,081001,Eventi di intento indeterminato,5,1
2009-2017,081002,Malattie infettive e parassitarie,0,2
2009-2017,081002,Tumore,38,42
2009-2017,081002,Tumori maligni,34,41
2009-2017,081002,Tumori maligni dello stomaco,1,0
2009-2017,081002,Tumori maligni del colon,3,7
2009-2017,081002,Tumori maligni del retto e dell'ano,1,2
2009-2017,081002,Tumori maligni del fegato e dei dotti biliari intraepatici,0,5
2009-2017,081002,Tumori maligni del pancreas,1,1
2009-2017,081002,Tumori maligni della laringe e della trachea/bronchi/polm.,9,3
2009-2017,081002,Tumori maligni della cute,0,2
2009-2017,081002,Tumori maligni del seno,0,4
2009-2017,081002,Tumori maligni di altre parti dell'utero,0,3
2009-2017,081002,Tumori maligni dell'ovaio,0,3
2009-2017,081002,Tumori maligni della prostata,4,0
2009-2017,081002,Tumori maligni del rene,1,0
2009-2017,081002,Tumori maligni della vescica,3,1
2009-2017,081002,Tumori maligni del tessuto linfatico/ematopoietico,4,1
2009-2017,081002,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,2
2009-2017,081002,"Malattie endocrine, nutrizionali e metaboliche",9,15
2009-2017,081002,Diabete mellito,6,14
2009-2017,081002,Disturbi psichici e comportamentali,6,15
2009-2017,081002,Malattie del sistema nervoso e degli organi di senso,2,8
2009-2017,081002,Malattie del sistema circolatorio,80,109
2009-2017,081002,Malattie ischemiche del cuore,16,15
2009-2017,081002,Altre malattie del cuore,21,22
2009-2017,081002,Malattie cerebrovascolari,27,50
2009-2017,081002,Malattie del sistema respiratorio,11,8
2009-2017,081002,Influenza,0,1
2009-2017,081002,Polmonite,2,1
2009-2017,081002,Malattie croniche delle basse vie respiratorie,7,2
2009-2017,081002,Malattie dell'apparato digerente,5,5
2009-2017,081002,Malattie epatiche croniche,1,0
2009-2017,081002,Malattie del sistema osteomuscolare e del tessuto connettivo,0,3
2009-2017,081002,Artrite reumatoide e osteoartrite,0,3
2009-2017,081002,Malattie del sistema genitourinario,5,7
2009-2017,081002,Malattie del rene e dell'uretere,4,7
2009-2017,081002,Alcune condizioni che hanno origine nel periodo perinatale,3,1
2009-2017,081002,"Sintomi, segni, risultati anomali e cause mal definite",2,2
2009-2017,081002,Cause esterne di traumatismo e avvelenamento,12,5
2009-2017,081002,Accidenti,8,4
2009-2017,081002,Accidenti di trasporto,1,0
2009-2017,081002,Cadute accidentali,6,2
2009-2017,081002,Suicidio e autolesione intenzionale,2,0
2009-2017,081002,Eventi di intento indeterminato,1,1
2009-2017,081003,Malattie infettive e parassitarie,1,1
2009-2017,081003,Epatite virale,0,1
2009-2017,081003,Tumore,98,80
2009-2017,081003,Tumori maligni,97,76
2009-2017,081003,"Tumori maligni delle labbra, cavità orale e faringe",0,3
2009-2017,081003,Tumori maligni dello stomaco,3,3
2009-2017,081003,Tumori maligni del colon,8,3
2009-2017,081003,Tumori maligni del retto e dell'ano,0,3
2009-2017,081003,Tumori maligni del fegato e dei dotti biliari intraepatici,5,1
2009-2017,081003,Tumori maligni del pancreas,3,6
2009-2017,081003,Tumori maligni della laringe e della trachea/bronchi/polm.,30,8
2009-2017,081003,Tumori maligni della cute,3,1
2009-2017,081003,Tumori maligni del seno,0,17
2009-2017,081003,Tumori maligni della cervice uterina,0,1
2009-2017,081003,Tumori maligni di altre parti dell'utero,0,3
2009-2017,081003,Tumori maligni dell'ovaio,0,4
2009-2017,081003,Tumori maligni della prostata,11,0
2009-2017,081003,Tumori maligni del rene,1,2
2009-2017,081003,Tumori maligni della vescica,5,2
2009-2017,081003,Tumori maligni del tessuto linfatico/ematopoietico,13,3
2009-2017,081003,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,4
2009-2017,081003,"Malattie endocrine, nutrizionali e metaboliche",18,24
2009-2017,081003,Diabete mellito,16,23
2009-2017,081003,Disturbi psichici e comportamentali,6,18
2009-2017,081003,Malattie del sistema nervoso e degli organi di senso,6,9
2009-2017,081003,Malattie del sistema circolatorio,165,227
2009-2017,081003,Malattie ischemiche del cuore,67,64
2009-2017,081003,Altre malattie del cuore,15,18
2009-2017,081003,Malattie cerebrovascolari,63,116
2009-2017,081003,Malattie del sistema respiratorio,22,10
2009-2017,081003,Influenza,1,0
2009-2017,081003,Polmonite,0,1
2009-2017,081003,Malattie croniche delle basse vie respiratorie,14,4
2009-2017,081003,Asma,0,1
2009-2017,081003,Malattie dell'apparato digerente,3,6
2009-2017,081003,Malattie epatiche croniche,1,0
2009-2017,081003,Malattie del sistema osteomuscolare e del tessuto connettivo,0,4
2009-2017,081003,Artrite reumatoide e osteoartrite,0,3
2009-2017,081003,Malattie del sistema genitourinario,12,21
2009-2017,081003,Malattie del rene e dell'uretere,12,21
2009-2017,081003,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,081003,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,081003,"Sintomi, segni, risultati anomali e cause mal definite",2,7
2009-2017,081003,Cause esterne di traumatismo e avvelenamento,11,16
2009-2017,081003,Accidenti,6,14
2009-2017,081003,Accidenti di trasporto,2,1
2009-2017,081003,Cadute accidentali,2,11
2009-2017,081003,Suicidio e autolesione intenzionale,3,1
2009-2017,081003,"Omicidio, aggressione",1,0
2009-2017,081003,Eventi di intento indeterminato,1,1
2009-2017,081004,Malattie infettive e parassitarie,3,2
2009-2017,081004,Tumore,186,135
2009-2017,081004,Tumori maligni,180,128
2009-2017,081004,"Tumori maligni delle labbra, cavità orale e faringe",2,2
2009-2017,081004,Tumori maligni dello stomaco,7,4
2009-2017,081004,Tumori maligni del colon,19,15
2009-2017,081004,Tumori maligni del retto e dell'ano,8,5
2009-2017,081004,Tumori maligni del fegato e dei dotti biliari intraepatici,7,12
